Config,theta,alpha,K,N_extinctions,Extinction_Rate,V_init,V_optimal,V_error_MEA,T_mean,P_theory,P_observed,Asymptotic_Error,Status
theta=0.64_alpha=100.0_K=1e+04,0.64,100.0,10000.0,29416,0.9805333333333334,0.0029913824556508373,0.0033527575174073137,0.004082051282051302,9804127206881.693,0.9846153846153847,0.9805333333333334,0.004082051282051302,Converged
theta=0.64_alpha=500.0_K=1e+04,0.64,500.0,10000.0,29908,0.9969333333333333,0.0028346088000880828,0.0031770447625148308,4.859813084112652e-05,2044323412159.7893,0.9968847352024922,0.9969333333333333,4.859813084112652e-05,Converged
theta=0.64_alpha=1000.0_K=1e+04,0.64,1000.0,10000.0,29950,0.9983333333333333,0.0027618185864938956,0.0031251182126367165,0.00010660426417063995,987246769551.2906,0.9984399375975039,0.9983333333333333,0.00010660426417063995,Converged
theta=1.0_alpha=100.0_K=1e+04,1.0,100.0,10000.0,29600,0.9866666666666667,0.00299229613181448,0.003321649531557819,0.0034323432343233984,9894115655705.777,0.9900990099009901,0.9866666666666667,0.0034323432343233984,Converged
theta=1.0_alpha=500.0_K=1e+04,1.0,500.0,10000.0,29921,0.9973666666666666,0.0028282851763916056,0.0032003280586551993,0.0006373253493013875,1919050721686.2854,0.998003992015968,0.9973666666666666,0.0006373253493013875,Converged
theta=1.0_alpha=1000.0_K=1e+04,1.0,1000.0,10000.0,29961,0.9987,0.002762183529145246,0.0031107006455743103,0.0003009990009990027,990856236323.3317,0.999000999000999,0.9987,0.0003009990009990027,Converged
theta=2.0_alpha=100.0_K=1e+04,2.0,100.0,10000.0,29819,0.9939666666666667,0.0029923943797995657,0.0033378251404207237,0.001058208955223905,9903841201773.795,0.9950248756218906,0.9939666666666667,0.001058208955223905,Converged
theta=2.0_alpha=500.0_K=1e+04,2.0,500.0,10000.0,29958,0.9986,0.002832094564862833,0.0031894326710334452,0.00040099900099899166,1993565078591.658,0.999000999000999,0.9986,0.00040099900099899166,Converged
theta=2.0_alpha=1000.0_K=1e+04,2.0,1000.0,10000.0,29974,0.9991333333333333,0.0027605901590993655,0.0031089062328649225,0.00036691654172915644,975193345141.0585,0.9995002498750625,0.9991333333333333,0.00036691654172915644,Converged
theta=0.64_alpha=100.0_K=1e+06,0.64,100.0,1000000.0,29459,0.9819666666666667,2.9230447621660725e-05,3.2918584637011206e-05,0.0026487179487180157,4950192703051.177,0.9846153846153847,0.9819666666666667,0.0026487179487180157,Converged
theta=0.64_alpha=500.0_K=1e+06,0.64,500.0,1000000.0,29888,0.9962666666666666,2.763055242399709e-05,3.171023130539263e-05,0.0006180685358255777,999531417887.4443,0.9968847352024922,0.9962666666666666,0.0006180685358255777,Converged
theta=0.64_alpha=1000.0_K=1e+06,0.64,1000.0,1000000.0,29942,0.9980666666666667,2.6930245355091138e-05,3.0906523192755604e-05,0.00037327093083727725,496200221745.3922,0.9984399375975039,0.9980666666666667,0.00037327093083727725,Converged
theta=1.0_alpha=100.0_K=1e+06,1.0,100.0,1000000.0,29638,0.9879333333333333,2.921810049671922e-05,3.2904679619795196e-05,0.00216567656765676,4889447839192.367,0.9900990099009901,0.9879333333333333,0.00216567656765676,Converged
theta=1.0_alpha=500.0_K=1e+06,1.0,500.0,1000000.0,29914,0.9971333333333333,2.7587479688750762e-05,3.136455744479449e-05,0.0008706586826346951,957392891183.8975,0.998003992015968,0.9971333333333333,0.0008706586826346951,Converged
theta=1.0_alpha=1000.0_K=1e+06,1.0,1000.0,1000000.0,29965,0.9988333333333334,2.693014887192237e-05,3.061722965707147e-05,0.00016766566766568403,496152349085.1453,0.999000999000999,0.9988333333333334,0.00016766566766568403,Converged
theta=2.0_alpha=100.0_K=1e+06,2.0,100.0,1000000.0,29802,0.9934,2.9212030724153833e-05,3.3054687114713664e-05,0.0016248756218906202,4859859889740.294,0.9950248756218906,0.9934,0.0016248756218906202,Converged
theta=2.0_alpha=500.0_K=1e+06,2.0,500.0,1000000.0,29953,0.9984333333333333,2.7636173725809733e-05,3.141991831645751e-05,0.000567665667665751,1005165907404.6527,0.999000999000999,0.9984333333333333,0.000567665667665751,Converged
theta=2.0_alpha=1000.0_K=1e+06,2.0,1000.0,1000000.0,29975,0.9991666666666666,2.6943285581517364e-05,3.077682688573326e-05,0.0003335832083958268,502713157777.86163,0.9995002498750625,0.9991666666666666,0.0003335832083958268,Converged
